"department","Year","id","Rain"
"Fatick",2004,"pd1",412.333333333333
"Fatick",2004,"pd2",287.666666666667
"Fatick",2004,"pd3",199.333333333333
"Fatick",2005,"pd1",517.333333333333
"Fatick",2005,"pd2",396.333333333333
"Fatick",2005,"pd3",242.666666666667
"Fatick",2006,"pd1",403
"Fatick",2006,"pd2",379.666666666667
"Fatick",2006,"pd3",246
"Fatick",2007,"pd1",439.333333333333
"Fatick",2007,"pd2",342.333333333333
"Fatick",2007,"pd3",267.333333333333
"Fatick",2008,"pd1",513.666666666667
"Fatick",2008,"pd2",379.333333333333
"Fatick",2008,"pd3",258.666666666667
"Fatick",2009,"pd1",567.666666666667
"Fatick",2009,"pd2",438
"Fatick",2009,"pd3",265
"Fatick",2010,"pd1",507.333333333333
"Fatick",2010,"pd2",461.333333333333
"Fatick",2010,"pd3",365.333333333333
"Fatick",2011,"pd1",366.666666666667
"Fatick",2011,"pd2",320.333333333333
"Fatick",2011,"pd3",190
"Fatick",2012,"pd1",535.333333333333
"Fatick",2012,"pd2",480.333333333333
"Fatick",2012,"pd3",320.666666666667
"Fatick",2013,"pd1",400.333333333333
"Fatick",2013,"pd2",357
"Fatick",2013,"pd3",223
"Fatick",2014,"pd1",348
"Fatick",2014,"pd2",351.666666666667
"Fatick",2014,"pd3",238
"Fatick",2015,"pd1",473.666666666667
"Fatick",2015,"pd2",472.333333333333
"Fatick",2015,"pd3",321.333333333333
"Fatick",2016,"pd1",422.333333333333
"Fatick",2016,"pd2",349
"Fatick",2016,"pd3",256.333333333333
"Fatick",2017,"pd1",446.666666666667
"Fatick",2017,"pd2",297.333333333333
"Fatick",2017,"pd3",135.666666666667
"Fatick",2018,"pd1",375.666666666667
"Fatick",2018,"pd2",341
"Fatick",2018,"pd3",241.333333333333
"Fatick",2019,"pd1",396.333333333333
"Fatick",2019,"pd2",386
"Fatick",2019,"pd3",248.333333333333
"Fatick",2020,"pd1",541.666666666667
"Fatick",2020,"pd2",431
"Fatick",2020,"pd3",339
"Fatick",2021,"pd1",465.333333333333
"Fatick",2021,"pd2",397.333333333333
"Fatick",2021,"pd3",225.333333333333
"Kaffrine",1990,"pd1",240.75
"Kaffrine",1990,"pd2",233.25
"Kaffrine",1990,"pd3",166
"Kaffrine",1991,"pd1",252.75
"Kaffrine",1991,"pd2",257
"Kaffrine",1991,"pd3",182
"Kaffrine",1992,"pd1",280.75
"Kaffrine",1992,"pd2",250.25
"Kaffrine",1992,"pd3",195
"Kaffrine",1993,"pd1",368
"Kaffrine",1993,"pd2",315.25
"Kaffrine",1993,"pd3",210.5
"Kaffrine",1994,"pd1",378
"Kaffrine",1994,"pd2",317.75
"Kaffrine",1994,"pd3",208.25
"Kaffrine",1995,"pd1",295
"Kaffrine",1995,"pd2",244.25
"Kaffrine",1995,"pd3",172.25
"Kaffrine",1996,"pd1",296
"Kaffrine",1996,"pd2",278.5
"Kaffrine",1996,"pd3",199
"Kaffrine",1997,"pd1",245.75
"Kaffrine",1997,"pd2",263
"Kaffrine",1997,"pd3",213.75
"Kaffrine",1998,"pd1",284.5
"Kaffrine",1998,"pd2",254.25
"Kaffrine",1998,"pd3",180
"Kaffrine",1999,"pd1",440.25
"Kaffrine",1999,"pd2",391
"Kaffrine",1999,"pd3",291.75
"Kaffrine",2000,"pd1",316.25
"Kaffrine",2000,"pd2",315.25
"Kaffrine",2000,"pd3",224.25
