loc,department,id,plantingDateMean,harvestingDateMean
3,Diourbel,pd1,191,280
4,Diourbel,pd1,191,280
5,Diourbel,pd1,191,280
1,Diourbel,pd1,191,280
2,Diourbel,pd1,191,280
3,Diourbel,pd1,191,280
4,Diourbel,pd1,191,280
5,Diourbel,pd1,191,280
1,Diourbel,pd1,191,280
2,Diourbel,pd1,191,280
3,Diourbel,pd1,191,280
4,Diourbel,pd1,191,280
5,Diourbel,pd1,191,280
1,Diourbel,pd1,191,280
2,Diourbel,pd1,191,280
3,Diourbel,pd1,191,280
4,Diourbel,pd1,191,280
5,Diourbel,pd1,191,280
1,Diourbel,pd2,228,307
2,Diourbel,pd2,228,307
3,Diourbel,pd2,228,307
4,Diourbel,pd2,228,307
5,Diourbel,pd2,228,307
1,Diourbel,pd2,228,307
2,Diourbel,pd2,228,307
3,Diourbel,pd2,228,307
4,Diourbel,pd2,228,307
5,Diourbel,pd2,228,307
1,Diourbel,pd2,228,307
2,Diourbel,pd2,228,307
3,Diourbel,pd2,228,307
4,Diourbel,pd2,228,307
5,Diourbel,pd2,228,307
1,Diourbel,pd2,228,307
2,Diourbel,pd2,228,307
3,Diourbel,pd2,228,307
4,Diourbel,pd2,228,307
5,Diourbel,pd2,228,307
1,Diourbel,pd2,228,307
2,Diourbel,pd2,228,307
3,Diourbel,pd2,228,307
4,Diourbel,pd2,228,307
5,Diourbel,pd2,228,307
1,Diourbel,pd2,228,307
2,Diourbel,pd2,228,307
3,Diourbel,pd2,228,307
4,Diourbel,pd2,228,307
5,Diourbel,pd2,228,307
1,Diourbel,pd3,244,323
2,Diourbel,pd3,244,323
3,Diourbel,pd3,244,323
4,Diourbel,pd3,244,323
5,Diourbel,pd3,244,323
1,Diourbel,pd3,244,323
2,Diourbel,pd3,244,323
3,Diourbel,pd3,244,323
4,Diourbel,pd3,244,323
5,Diourbel,pd3,244,323
1,Diourbel,pd3,244,323
2,Diourbel,pd3,244,323
3,Diourbel,pd3,244,323
4,Diourbel,pd3,244,323
5,Diourbel,pd3,244,323
1,Diourbel,pd3,244,323
2,Diourbel,pd3,244,323
3,Diourbel,pd3,244,323
4,Diourbel,pd3,244,323
5,Diourbel,pd3,244,323
1,Diourbel,pd3,244,323
2,Diourbel,pd3,244,323
3,Diourbel,pd3,244,323
4,Diourbel,pd3,244,323
5,Diourbel,pd3,244,323
1,Diourbel,pd3,244,323
2,Diourbel,pd3,244,323
3,Diourbel,pd3,244,323
4,Diourbel,pd3,244,323
5,Diourbel,pd3,244,323
1,Fatick,pd1,186,269
2,Fatick,pd1,186,269
3,Fatick,pd1,186,269
4,Fatick,pd1,186,269
5,Fatick,pd1,186,269
1,Fatick,pd1,186,269
2,Fatick,pd1,186,269
3,Fatick,pd1,186,269
4,Fatick,pd1,186,269
5,Fatick,pd1,186,269
1,Fatick,pd1,186,269
2,Fatick,pd1,186,269
3,Fatick,pd1,186,269
4,Fatick,pd1,186,269
5,Fatick,pd1,186,269
1,Fatick,pd1,186,269
2,Fatick,pd1,186,269
3,Fatick,pd1,186,269
4,Fatick,pd1,186,269
5,Fatick,pd1,186,269
1,Fatick,pd1,186,269
2,Fatick,pd1,186,269
3,Fatick,pd1,186,269
4,Fatick,pd1,186,269
5,Fatick,pd1,186,269
1,Fatick,pd1,186,269
2,Fatick,pd1,186,269
3,Fatick,pd1,186,269
4,Fatick,pd1,186,269
5,Fatick,pd1,186,269
1,Fatick,pd2,222,301
2,Fatick,pd2,222,301
3,Fatick,pd2,222,301
4,Fatick,pd2,222,301
5,Fatick,pd2,222,301
1,Fatick,pd2,222,301
2,Fatick,pd2,222,301
3,Fatick,pd2,222,301
4,Fatick,pd2,222,301
5,Fatick,pd2,222,301
1,Fatick,pd2,222,301
2,Fatick,pd2,222,301
3,Fatick,pd2,222,301
4,Fatick,pd2,222,301
5,Fatick,pd2,222,301
1,Fatick,pd2,222,301
2,Fatick,pd2,222,301
3,Fatick,pd2,222,301
4,Fatick,pd2,222,301
5,Fatick,pd2,222,301
1,Fatick,pd2,222,301
2,Fatick,pd2,222,301
3,Fatick,pd2,222,301
4,Fatick,pd2,222,301
5,Fatick,pd2,222,301
1,Fatick,pd2,222,301
2,Fatick,pd2,222,301
3,Fatick,pd2,222,301
4,Fatick,pd2,222,301
5,Fatick,pd2,222,301
1,Fatick,pd3,242,319
2,Fatick,pd3,242,319
3,Fatick,pd3,242,319
4,Fatick,pd3,242,319
5,Fatick,pd3,242,319
1,Fatick,pd3,242,319
2,Fatick,pd3,242,319
3,Fatick,pd3,242,319
4,Fatick,pd3,242,319
5,Fatick,pd3,242,319
1,Fatick,pd3,242,319
2,Fatick,pd3,242,319
3,Fatick,pd3,242,319
4,Fatick,pd3,242,319
5,Fatick,pd3,242,319
1,Fatick,pd3,242,319
2,Fatick,pd3,242,319
3,Fatick,pd3,242,319
4,Fatick,pd3,242,319
5,Fatick,pd3,242,319
1,Fatick,pd3,242,319
2,Fatick,pd3,242,319
3,Fatick,pd3,242,319
4,Fatick,pd3,242,319
5,Fatick,pd3,242,319
1,Fatick,pd3,242,319
2,Fatick,pd3,242,319
3,Fatick,pd3,242,319
4,Fatick,pd3,242,319
5,Fatick,pd3,242,319
1,Fatick,pd1,179,264
2,Fatick,pd1,179,264
3,Fatick,pd1,179,264
4,Fatick,pd1,179,264
5,Fatick,pd1,179,264
1,Fatick,pd1,179,264
2,Fatick,pd1,179,264
3,Fatick,pd1,179,264
4,Fatick,pd1,179,264
5,Fatick,pd1,179,264
1,Fatick,pd1,179,264
2,Fatick,pd1,179,264
3,Fatick,pd1,179,264
4,Fatick,pd1,179,264
5,Fatick,pd1,179,264
1,Fatick,pd1,179,264
2,Fatick,pd1,179,264
3,Fatick,pd1,179,264
4,Fatick,pd1,179,264
5,Fatick,pd1,179,264
1,Fatick,pd1,179,264
2,Fatick,pd1,179,264
3,Fatick,pd1,179,264
4,Fatick,pd1,179,264
5,Fatick,pd1,179,264
1,Fatick,pd1,179,264
2,Fatick,pd1,179,264
3,Fatick,pd1,179,264
4,Fatick,pd1,179,264
5,Fatick,pd1,179,264
1,Fatick,pd2,214,296
2,Fatick,pd2,214,296
3,Fatick,pd2,214,296
4,Fatick,pd2,214,296
5,Fatick,pd2,214,296
1,Fatick,pd2,214,296
2,Fatick,pd2,214,296
3,Fatick,pd2,214,296
4,Fatick,pd2,214,296
5,Fatick,pd2,214,296
1,Fatick,pd2,214,296
2,Fatick,pd2,214,296
3,Fatick,pd2,214,296
4,Fatick,pd2,214,296
5,Fatick,pd2,214,296
1,Fatick,pd2,214,296
2,Fatick,pd2,214,296
3,Fatick,pd2,214,296
4,Fatick,pd2,214,296
5,Fatick,pd2,214,296
1,Fatick,pd2,214,296
2,Fatick,pd2,214,296
3,Fatick,pd2,214,296
4,Fatick,pd2,214,296
5,Fatick,pd2,214,296
1,Fatick,pd2,214,296
2,Fatick,pd2,214,296
3,Fatick,pd2,214,296
4,Fatick,pd2,214,296
5,Fatick,pd2,214,296
1,Fatick,pd3,234,313
2,Fatick,pd3,234,313
3,Fatick,pd3,234,313
4,Fatick,pd3,234,313
5,Fatick,pd3,234,313
1,Fatick,pd3,234,313
2,Fatick,pd3,234,313
3,Fatick,pd3,234,313
4,Fatick,pd3,234,313
5,Fatick,pd3,234,313
1,Fatick,pd3,234,313
2,Fatick,pd3,234,313
3,Fatick,pd3,234,313
4,Fatick,pd3,234,313
5,Fatick,pd3,234,313
1,Fatick,pd3,234,313
2,Fatick,pd3,234,313
3,Fatick,pd3,234,313
4,Fatick,pd3,234,313
5,Fatick,pd3,234,313
1,Fatick,pd3,234,313
2,Fatick,pd3,234,313
3,Fatick,pd3,234,313
4,Fatick,pd3,234,313
5,Fatick,pd3,234,313
1,Fatick,pd3,234,313
2,Fatick,pd3,234,313
3,Fatick,pd3,234,313
4,Fatick,pd3,234,313
5,Fatick,pd3,234,313
1,Fatick,pd1,181,263
2,Fatick,pd1,181,263
3,Fatick,pd1,181,263
4,Fatick,pd1,181,263
5,Fatick,pd1,181,263
1,Fatick,pd1,181,263
2,Fatick,pd1,181,263
3,Fatick,pd1,181,263
4,Fatick,pd1,181,263
5,Fatick,pd1,181,263
1,Fatick,pd1,181,263
2,Fatick,pd1,181,263
3,Fatick,pd1,181,263
4,Fatick,pd1,181,263
5,Fatick,pd1,181,263
1,Fatick,pd1,181,263
2,Fatick,pd1,181,263
3,Fatick,pd1,181,263
4,Fatick,pd1,181,263
5,Fatick,pd1,181,263
1,Fatick,pd1,181,263
2,Fatick,pd1,181,263
3,Fatick,pd1,181,263
4,Fatick,pd1,181,263
5,Fatick,pd1,181,263
1,Fatick,pd1,181,263
2,Fatick,pd1,181,263
3,Fatick,pd1,181,263
4,Fatick,pd1,181,263
5,Fatick,pd1,181,263
1,Fatick,pd2,216,296
2,Fatick,pd2,216,296
3,Fatick,pd2,216,296
4,Fatick,pd2,216,296
5,Fatick,pd2,216,296
1,Fatick,pd2,216,296
2,Fatick,pd2,216,296
3,Fatick,pd2,216,296
4,Fatick,pd2,216,296
5,Fatick,pd2,216,296
1,Fatick,pd2,216,296
2,Fatick,pd2,216,296
3,Fatick,pd2,216,296
4,Fatick,pd2,216,296
5,Fatick,pd2,216,296
1,Fatick,pd2,216,296
2,Fatick,pd2,216,296
3,Fatick,pd2,216,296
4,Fatick,pd2,216,296
5,Fatick,pd2,216,296
1,Fatick,pd2,216,296
2,Fatick,pd2,216,296
3,Fatick,pd2,216,296
4,Fatick,pd2,216,296
5,Fatick,pd2,216,296
1,Fatick,pd2,216,296
2,Fatick,pd2,216,296
3,Fatick,pd2,216,296
4,Fatick,pd2,216,296
5,Fatick,pd2,216,296
1,Fatick,pd3,236,314
2,Fatick,pd3,236,314
3,Fatick,pd3,236,314
4,Fatick,pd3,236,314
5,Fatick,pd3,236,314
1,Fatick,pd3,236,314
2,Fatick,pd3,236,314
3,Fatick,pd3,236,314
4,Fatick,pd3,236,314
5,Fatick,pd3,236,314
1,Fatick,pd3,236,314
2,Fatick,pd3,236,314
3,Fatick,pd3,236,314
4,Fatick,pd3,236,314
5,Fatick,pd3,236,314
1,Fatick,pd3,236,314
2,Fatick,pd3,236,314
3,Fatick,pd3,236,314
